Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1961","1961","ha","1000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1962","1962","ha","1200","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1963","1963","ha","1200","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1964","1964","ha","1300","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1965","1965","ha","1300","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1966","1966","ha","1400","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1967","1967","ha","1400","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1968","1968","ha","1500","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1969","1969","ha","1800","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1970","1970","ha","1800","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1971","1971","ha","2000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1972","1972","ha","2500","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1973","1973","ha","2800","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1974","1974","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1975","1975","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1976","1976","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1977","1977","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1978","1978","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1979","1979","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1980","1980","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1981","1981","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1982","1982","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1983","1983","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1984","1984","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1985","1985","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1986","1986","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1987","1987","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1988","1988","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1989","1989","ha","3000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5312","Área cosechada","01318","Piña tropical","1990","1990","ha","3059","I","Valor imputado"
